species,category,monitored,ewe_group_num,ewe_group_name,w_min,w_mat,w_inf,k_vb,h,ks,n_exponent,z0,z0_original,beta,sigma,erepro,ewe_biomass,ewe_pb,ewe_qb,ewe_ee,ref_notes,ref_notes_growth,feeding_notes
Cephalopods,fish,FALSE,18,Cephalopods,100,2000,5000,0.8,405102.2795533232,405102.2795533232,-0.25,0.945,3.15,100,1.5,0.1,2.49,3.15,30.28846,NA,Large squid species in WAP; L_inf ~50-100cm,Fast-growing cephalopods; typical K for squid 0.5-1.5,Piscivorous; prey on fish and krill
Myctophids,fish,FALSE,19,Myctophids,1,10,50,0.4,188.14196158211803,188.14196158211803,-0.25,0.33,1.1,100,1.5,0.1,3.27,1.1,10.58,NA,Small mesopelagic fish; typical myctophid sizes,Moderate K typical for myctophids,Feed on zooplankton and small prey
On-shelf fish,fish,FALSE,20,On-shelf fish,10,200,1000,0.3,3326.6874094318578,3326.6874094318578,-0.25,0.138,0.46,100,1.5,0.1,5.25,0.46,4.423077,NA,Multi-species average for demersal fish,Moderate K for mixed demersal fish,Generalist demersal feeders
Notothenia rossii,fish,FALSE,21,N. rossii,50,2000,7000,0.13,37288.95940548529,37288.95940548529,-0.25,0.087,0.29,500,1.3,0.1,0.138,0.29,2.788,NA,"Large nototheniid; Common at 35-55cm, max 70cm",Slow-growing nototheniid; K from Kock 1992,Large piscivore; relatively selective
Champsocephalus gunnari,fish,TRUE,22,C gunnari,50,300,500,0.35,5762.480949835991,5762.480949835991,-0.25,0.144,0.48,200,1.5,0.1,0.9,0.48,4.615385,NA,"Icefish; Mature at 24-28cm, max 50cm",Relatively fast for notothenioid; K from Kock 1992,Krill and fish feeder
Gobionotothen gibberifrons,fish,TRUE,23,G gibberifrons,50,150,400,0.25,2321.873600948297,2321.873600948297,-0.25,0.138,0.46,50,2,0.1,1.2,0.46,4.423077,NA,"Small nototheniid; Mature at 15-18cm, max 30cm",Moderate K for small nototheniid,Benthic invertebrate feeder; less selective
Antarctic Krill,krill,TRUE,26,Krill Large,0.1,0.5,1,0.44,1.8255384980074087,1.8255384980074087,-0.25,0.24000000000000005,0.8000000000000002,10,2,0.3,110.19,0.8000000000000002,4.341886741083583,NA,"Recruit ~15mm (0.1g), mature 35mm (0.5g), max 60mm (1g)","K from Rosenberg et al. 1986, confirmed Kawaguchi et al.",Filter feeder on phytoplankton and ice algae
Other Euphausiids,krill,FALSE,28,Other Euphausiids,0.1,0.4,0.8,0.45,2.1301803632462715,2.1301803632462715,-0.25,0.44999999999999996,1.5,10,2,0.3,148,1.5,6.6964,NA,Similar to Antarctic krill but slightly smaller,Similar to Antarctic krill,Filter feeder similar to krill
Killer Whale,seal,FALSE,1,Killer whales,4000000,5000000,8000000,2,254231658.54280898,254231658.54280898,-0.25,0.05,0.02,1000,1,0.01,0.007524,0.02,1.075269,NA,"Adult odontocete; females 3-4t, males 6-8t",High K for narrow adult representation,"Apex predator; highly selective, large prey"
Leopard Seal,seal,TRUE,2,Leopard Seal,250000,300000,600000,2,106498955.78102715,106498955.78102715,-0.25,0.081,0.27,500,1.2,0.01,0.008352,0.27,15.16854,NA,"Adult phocid; females 260-500kg, males smaller",High K for narrow adult representation,"Large prey specialist (seals, penguins, krill)"
Weddell Seal,seal,FALSE,3,Weddell Seal,350000,400000,600000,2,46250423.49669329,46250423.49669329,-0.25,0.05,0.08,200,1.5,0.01,0.081212,0.08,4.597701,NA,"Adult phocid; females 400-500kg, males 400-500kg",High K for narrow adult representation,Fish and squid feeder
Crabeater Seal,seal,FALSE,4,Crabeater Seal,180000,225000,300000,2,29168820.59959741,29168820.59959741,-0.25,0.05,0.1,200,1,0.01,1.097774,0.1,5.952381,NA,Adult phocid; 200-300kg both sexes,High K for narrow adult representation,Krill specialist; narrow diet
Antarctic Fur Seal,seal,TRUE,5,Antarctic fur seals,40000,50000,200000,2,7221854.97727743,7221854.97727743,-0.25,0.051000000000000004,0.17,300,1.3,0.01,0.001032318,0.17,9.659091,NA,"Adult otariid; females 30-50kg, males 120-200kg",High K for narrow adult representation,"Fish, squid, and krill"
Southern Elephant Seal,seal,FALSE,6,S Elephant Seals,600000,800000,4000000,2,288756874.0257226,288756874.0257226,-0.25,0.063,0.21,500,1.2,0.01,0.001035257,0.21,12.06896,NA,"Adult phocid; extreme sexual dimorphism, males to 4t",High K for narrow adult representation,Deep-diving squid specialist
Sperm Whale,whale,FALSE,7,Sperm Whales,15000000,20000000,50000000,2,22291347957.48277,22291347957.48277,-0.25,0.087,0.29,1000,1,0.01,0.02839939,0.29,16.66667,NA,"Adult odontocete; females 15-20t, males to 50t",High K for narrow adult representation,Deep-diving squid specialist; very selective
Blue Whale,whale,FALSE,8,Blue Whales,80000000,100000000,150000000,2,25316460000,25316460000,-0.25,0.05,0.04,200,0.8,0.01,0.0071769,0.04,2.531646,NA,"Adult mysticete; largest animal, 100-150t",High K for narrow adult representation,Krill specialist; very narrow diet (filter feeder)
Fin Whale,whale,FALSE,9,Fin Whales,40000000,50000000,80000000,2,10721429294.48486,10721429294.48486,-0.25,0.05,0.0315,200,0.8,0.01,0.042804300000000003,0.0315,2.55,NA,Adult mysticete; 40-80t,High K for narrow adult representation,Krill specialist; filter feeder
Minke Whale,whale,FALSE,10,Minke Whales,5000000,7000000,10000000,2,2036042695.720362,2036042695.720362,-0.25,0.05,0.095,200,1,0.01,0.0472752,0.095,5.654762,NA,Adult mysticete; smallest baleen whale 5-10t,High K for narrow adult representation,Krill specialist; filter feeder
Humpback Whale,whale,FALSE,11,Humpback whales,25000000,30000000,40000000,2,5286304900.564547,5286304900.564547,-0.25,0.05,0.04,200,0.8,0.01,0.08118936,0.04,2.380952,NA,Adult mysticete; 25-40t,High K for narrow adult representation,Krill specialist; filter feeder
Emperor Penguin,penguin,FALSE,12,Emperor Penguins,25000,30000,45000,2,5485209.60347615,5485209.60347615,-0.25,0.05835,0.1945,100,1.2,0.05,1.15949e-4,0.1945,13.89286,NA,"Adult penguin; largest penguin, 23-45kg",High K for narrow adult representation,Fish and krill feeder
Gentoo Penguin,penguin,TRUE,13,Gentoo Penguins,5000,6000,8000,2,806764.9848725055,806764.9848725055,-0.25,0.066,0.22,100,1.2,0.05,0.001161069,0.22,15.2777,NA,Adult penguin; 5-8kg,High K for narrow adult representation,Krill and fish feeder
Chinstrap Penguin,penguin,TRUE,14,Chinstrap Penguins,3500,4000,6000,2,485999.4855982899,485999.4855982899,-0.25,0.066,0.22,100,0.8,0.05,0.02142,0.22,15.2778,NA,Adult penguin; 3-6kg,High K for narrow adult representation,Krill specialist; narrow diet
Adelie Penguin,penguin,TRUE,15,Adelie Penguins,3500,4000,6000,2,1164903.6564658138,1164903.6564658138,-0.25,0.05,0.12,100,0.8,0.05,0.00583,0.12,36.61972,NA,Adult penguin; 3-6kg,High K for narrow adult representation,Krill specialist; narrow diet
Macaroni Penguin,penguin,FALSE,16,Macaroni Penguins,4000,5000,6000,2,321175.7188310516,321175.7188310516,-0.25,0.05,0.11,100,1,0.05,1.14505e-4,0.11,7.638889,NA,Adult penguin; 4-6kg,High K for narrow adult representation,Krill and other euphausiids
